DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
CIDKR0_DAY0_OP_NOM,0,24,1018,432091,1,1736070004AE05003AD70C00ABE41B00DAE9017DF6D0D5E84AED08E6F030
CIDKR0_DAY0_OP_NOM,0,25,1018,432091,0,FE58FCC0F4690200833913006DAA1400F6DC8718B7667D90C60E43F5ACE7
CIDKR0_DAY0_OP_NOM,0,25,1018,432091,1,D67E0E00886C0800A4400300CCA10D00DEDFCCA920308EADD06A68823E5E
CIDKR0_DAY0_OP_NOM,0,26,1018,432091,0,D15DBB601ECB0500693D17009FB9180066C738491607915EA4324895D65E
CIDKR0_DAY0_OP_NOM,0,26,1018,432091,1,0EA70A00A054070040590400F8EC0900C248396F5B9E2B06ADB4EA1C4F23
CIDKR0_DAY0_OP_NOM,0,27,1018,432091,0,2C9C12F044BE0C0060AD1100C9C31200EE0579EBF5972FD7F07DB3777CF6
CIDKR0_DAY0_OP_NOM,0,27,1018,432091,1,BAF9180030720A00EA480D0060271300B7DECA47312010A5D5C477DC629C
CIDKR0_DAY0_OP_NOM,0,1,1018,432121,0,E7AF5940FCF00E00877B0200093F08006344861F178BA529F8384C7BAB75
CIDKR0_DAY0_OP_NOM,0,1,1018,432121,1,E0630D009FEC1300177E1400D2F80F003105C764B157D3CF4C8A6CD4A743
CIDKR0_DAY0_OP_NOM,0,2,1018,432121,0,234535903E221900A37414005046010087E61D18666AE0A39616A149B49B
CIDKR0_DAY0_OP_NOM,0,2,1018,432121,1,2B270300D1CA12006EFF1500771D0D0063F2EB26248429449408FDC93425
CIDKR0_DAY0_OP_NOM,0,3,1018,432121,0,16BADA80EA630400D9A90200D180140019E50EBA1FC277CDFB329AECA7FC
CIDKR0_DAY0_OP_NOM,0,3,1018,432121,1,10980A00EA970900FD910B00276219002D3DA68DDB06542FDC47BA4B87E8
CIDKR0_DAY0_OP_NOM,0,4,1018,432121,0,EF02C980F416090017E10300C8B8050062CAAAFA93A73D95918830178FB7
CIDKR0_DAY0_OP_NOM,0,4,1018,432121,1,410D0B0040AD1A00A9E01B002B8E1000FFF5D59552D3B3E510AA70EEF27A
CIDKR0_DAY0_OP_NOM,0,5,1018,432121,0,05F19950D5250A00F87A0400D4B00600DC0508E8D618A75F5D99A1D60555
CIDKR0_DAY0_OP_NOM,0,5,1018,432121,1,C15009007B9E17003EB51800FFFD0B007A065AE7D97DCE047DC85F726C42
CIDKR0_DAY0_OP_NOM,0,6,1018,432121,0,167025B0FD7A1A00050C18008366070052273A39E8B881944960BAA7F144
CIDKR0_DAY0_OP_NOM,0,6,1018,432121,1,D8D40500C3071600E3511100D7720900408F37E9444C3B6AE8D869EB4CF5
CIDKR0_DAY0_OP_NOM,0,7,1018,432121,0,F21ADB10A9AC060044740800BB191800A3D5D1E2B8E9090904BDAF1255C8
CIDKR0_DAY0_OP_NOM,0,7,1018,432121,1,191B0E0040EF0D003DD00F00FD8D1A0003FE65637DF58AC5B014E1BBB501
CIDKR0_DAY0_OP_NOM,0,8,1018,432121,0,D520E590DF7A0D00221D0100FDA3070086C19982090BDCC1B2417703774B
CIDKR0_DAY0_OP_NOM,0,8,1018,432121,1,84940F00461D1900158D0C00AC10170050600C1CDCE4E46F9034D3DE000C
CIDKR0_DAY0_OP_NOM,0,9,1018,432121,0,D32E1920B1ED0A00B455100021B60500444E1017A6670581261A2B213C14
CIDKR0_DAY0_OP_NOM,0,9,1018,432121,1,8E00150050560300032C1600EA091A00221DD43CD44B1403DD1C4C761D0F
CIDKR0_DAY0_OP_NOM,0,10,1018,432121,0,BD5A48F08D9C0500F6740B00A6A70900AAF265C9DDEF08C9E2131ABDDBAB
CIDKR0_DAY0_OP_NOM,0,10,1018,432121,1,6B000300DD1A1A00EB791B00CEC71200293921809A9D379067A6297436F9
CIDKR0_DAY0_OP_NOM,0,11,1018,432121,0,A61892D002C2110072651200FE2F0C008D2069A187E2920856799D0D2B39
CIDKR0_DAY0_OP_NOM,0,11,1018,432121,1,2AFB0A00635204005F3F0500B78B030060E24F07448ED2BD48A8E30C7517
CIDKR0_DAY0_OP_NOM,0,12,1018,432121,0,C3800CB0154A1100D9EF120029110B00A510A0EA823BFE420DD361B8BAF7
CIDKR0_DAY0_OP_NOM,0,12,1018,432121,1,A1610D00C08A180075D31300FC5A08005E032F2941FBB850B591A4C0712A
CIDKR0_DAY0_OP_NOM,0,13,1018,432121,0,6951369014D30C00EF300E0051B8010092790C05E9A3944B28051433B5A5
CIDKR0_DAY0_OP_NOM,0,13,1018,432121,1,A71C1100307F0700CC621200D96A1B0024A81A90679594FAE82D59ABB08E
CIDKR0_DAY0_OP_NOM,0,14,1018,432121,0,CD76734000480100E5100F001E450D00E1C3CEB11EF22AE2B6293D15F6C9
CIDKR0_DAY0_OP_NOM,0,14,1018,432121,1,752D0700C76B190023C416003979150063F8FE60981208FE99B86922E37D
CIDKR0_DAY0_OP_NOM,0,15,1018,432121,0,49479980DEDE160020CB0E008A6410009FC0F648138CC53C5E637ABEB35F
CIDKR0_DAY0_OP_NOM,0,15,1018,432121,1,236C0800CA1401000571070003751400D087799690DC3D3DB097A5F47BE4
CIDKR0_DAY0_OP_NOM,0,16,1018,432121,0,4DE66830462C160021A00F000AD90900B1108C680CD24738EB52E39C3501
CIDKR0_DAY0_OP_NOM,0,16,1018,432121,1,0C4A1400F57B1700C9E80400794A05003612A486704C71F7BE4830E18551
CIDKR0_DAY0_OP_NOM,0,17,1018,432121,0,68DFF5804B8F1B008FE60B00984B180033B4934E70A62A0C0DFDFD508700
CIDKR0_DAY0_OP_NOM,0,17,1018,432121,1,99181200B7C10D00C5330600541F1A004ED9D63EAA28CA5F81FFDFBEEFE6
CIDKR0_DAY0_OP_NOM,0,18,1018,432121,0,9F921160F3310C00248D0B003B901100D00BF79E649EAC9FD784A32B1F00
CIDKR0_DAY0_OP_NOM,0,18,1018,432121,1,EBE2130089C90D003C5F0200757C190090AD1D9BCD211ED0CE36A81AFEC5
CIDKR0_DAY0_OP_NOM,0,19,1018,432121,0,0193D320608E1900492F030005DE1400ACC68257C5B97AB3656332F4214D
CIDKR0_DAY0_OP_NOM,0,19,1018,432121,1,06B21200B7D50100C63E1B00B9B60C00A82A0448AB925015B91A3AAD4349
CIDKR0_DAY0_OP_NOM,0,20,1018,432121,0,B32AE220068D1900E376130046F01500E0A85A4D83062BAEF5DFBA1F69E2
CIDKR0_DAY0_OP_NOM,0,20,1018,432121,1,199E03009E590100C6F510002FFE0F002A1135A7B42738A35A37E8D955BF
CIDKR0_DAY0_OP_NOM,0,21,1018,432121,0,BA8A1670A3610F00FFA01600D9491400E078F5910AB920D7852B658F216B
CIDKR0_DAY0_OP_NOM,0,21,1018,432121,1,E125090051A60200003C19002CD103003FC7530B07E9A02B9B794B0DC319
CIDKR0_DAY0_OP_NOM,0,22,1018,432121,0,B7D15FA0AAEE0F0014181500FB531700B879739BFC5DE0F3A0629B4C8EAC
CIDKR0_DAY0_OP_NOM,0,22,1018,432121,1,9011090049DD0600DF321A00BD0907000D94D00930CE92ADD41EAB507328
CIDKR0_DAY0_OP_NOM,0,23,1018,432121,0,BAF872F0321A1A000C0D0700C180180035A893A6EEDDFAAF25982092D356
CIDKR0_DAY0_OP_NOM,0,23,1018,432121,1,3BAF16003E360500E167100019A70F00BD86B658AC95396C076A501D2C48
